date	p0	p1	p2	p3	p4	p5	p6	p7	p8	p9	p10	p11	p12	p13	p14	p15	p16	p17	p18	p19	p20	p21	p22	p23	p24
20140501	1.33272697	1.21896023	1.41330541	1.23933518	0.28799222	1.28681279	1.58189636	1.63204275	1.21376558	0.42050815	1.55728373	1.81158781	1.29856726	1.28685746	0.56950358	1.70458699	1.77719528	2.08895099	1.62315979	0.49407053	1.31161543	2.00132864	1.15199775	1.39206569	0.58210451
20150501	1.10616338	1.01173699	1.17304349	1.02864820	0.23903354	1.06805462	1.31297398	1.35459548	1.00742543	0.34902176	1.29254550	1.50361788	1.07781082	1.06809169	0.47268797	1.41480720	1.47507209	1.73382932	1.34722263	0.41007854	1.08864081	1.66110277	0.95615813	1.15541452	0.48314674
20151129	0.91199067	0.98838827	1.13113093	1.09947079	0.44005226	0.92524403	1.25238097	1.30174917	1.07630092	0.56522393	1.16325086	1.45370197	1.04606706	1.12977791	0.70193306	1.26210797	1.40770698	1.68843603	1.39750683	0.62383959	0.95735660	1.56509268	0.91222236	1.20506585	0.73661238
20160501	0.80876458	0.95590740	1.09444582	1.11559367	0.58362633	0.87156695	1.21749413	1.28221583	1.09049082	0.71991235	1.09241390	1.39807224	0.99900120	1.13377714	0.86597723	1.15743673	1.37401235	1.63235712	1.44478047	0.81483594	0.90848947	1.54229009	0.87943602	1.18229365	0.91284317
20160801	0.78959680	0.95075977	1.09527087	1.11166787	0.57729769	0.89406514	1.22453356	1.32537341	1.06587183	0.71955836	1.07251966	1.38131917	1.01484966	1.13377380	0.88725811	1.20685458	1.37294662	1.58413351	1.45909381	0.80204356	0.91189510	1.54993808	0.89128065	1.19843888	0.92248267
20170430	1.01194024	0.90944862	1.01719284	0.98326552	0.37921584	0.96368051	1.14544106	1.14228463	0.96166444	0.50084734	1.15658188	1.26074386	0.92256838	0.98995245	0.62621820	1.27127123	1.30492020	1.44663072	1.24377251	0.57180750	0.97545499	1.46731389	0.80658662	1.03293192	0.64051956
20170701	1.01646710	0.92350860	1.03710661	0.99598871	0.37183631	0.98839018	1.15837179	1.19155004	0.97706699	0.50212216	1.21536421	1.25837144	0.94059113	1.00000000	0.62986111	1.27966400	1.31567791	1.46378515	1.25565025	0.57515940	0.97933143	1.49378991	0.84050659	1.06406916	0.64215309
20180201	0.79618321	0.91131003	1.01362903	1.00420371	0.52227653	0.82492830	1.11618191	1.14072633	0.98143397	0.65660103	1.01705553	1.24231869	0.91361948	1.00000000	0.79158832	1.07143465	1.28231399	1.42664917	1.25406743	0.73818176	0.81983868	1.47096332	0.81811398	1.04379539	0.81870130
20180801	1.04209282	0.89429848	1.01003786	0.94376953	0.34727574	1.00000000	1.14134822	1.14687998	0.94237838	0.46024866	1.17417296	1.22394222	0.91533057	0.97566371	0.58221223	1.26905121	1.28088883	1.39696443	1.18916246	0.53202731	0.97266333	1.43756833	0.80437546	1.00243317	0.58627876
20181001	1.01960986	0.90752168	1.02701677	0.98392648	0.38435972	0.98837407	1.13740624	1.11993069	0.95064848	0.49497977	1.16250141	1.24520206	0.93472604	1.00000000	0.62409327	1.26924182	1.29085065	1.41631788	1.22620313	0.56444320	0.97730474	1.46717377	0.82810129	1.03475651	0.63822295
20190201	0.90740820	0.88963363	1.01801196	1.00000000	0.46251601	0.91082254	1.13794549	1.16247643	0.97925944	0.59408699	1.04609790	1.23263875	0.91216121	1.01264024	0.72407709	1.17957037	1.29502497	1.40618955	1.24925669	0.66840835	0.89664479	1.43594032	0.81568481	1.02188055	0.75527577
20190401	0.96014949	0.90514814	1.03598416	1.00000000	0.42941455	0.95345469	1.14039481	1.15520594	0.97915250	0.55534330	1.08812898	1.24983924	0.94022245	1.02342758	0.68698889	1.22341774	1.30873270	1.43092986	1.25414803	0.62586795	0.92646003	1.44295180	0.80342398	1.04107700	0.70782759
20191001	1.04804037	0.88898407	1.01389707	0.94406161	0.33355758	1.00000000	1.13192923	1.17138691	0.94326029	0.45419645	1.13891146	1.23518329	0.92014808	0.99959812	0.56637475	1.27513424	1.29732046	1.41244968	1.20443048	0.51738123	0.98411316	1.44816444	0.79541103	1.01369061	0.58629145
20200201	1.12348757	0.90320288	1.00000000	0.90930568	0.27385073	1.04372831	1.14048528	1.15112106	0.90838405	0.37172988	1.23720969	1.24499913	0.92778562	0.95694937	0.49627754	1.34404086	1.29280489	1.41996998	1.17173498	0.45206783	1.02244674	1.47132146	0.80149927	0.99626060	0.50765845
20200801	1.11123050	0.89700596	0.99138037	0.91680608	0.27544828	1.04185487	1.13442088	1.14989573	0.92882833	0.39751021	1.18245176	1.25205311	0.92333003	0.98370349	0.50914621	1.32306377	1.29910877	1.42799501	1.18524226	0.46599310	1.02135834	1.47548893	0.80593906	1.00000000	0.51406643
